Cluster_ID,Best_Match,Similarity_Pct,Status,Total_Reads,Pct_of_Sample,Num_ASVs
Cluster_860,Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Sordariomycetes;Lanspora;Lanspora_coronata;,77.68,Low confidence / possible divergent,700,0.44,64
Cluster_521,Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Dothideomycetes;Phoma;Phoma_sp.;,67.25,Low confidence / possible divergent,694,0.44,110
Cluster_652,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia_2;Sessilida;Sessilida_X;Sessilida_X_sp.;,73.87,Low confidence / possible divergent,672,0.43,33
Cluster_809,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia_2;Sessilida;Sessilida_X;Sessilida_X_sp.;,80.3,Confident match,666,0.42,43
Cluster_74,Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Gregarinomorphea_X_GRE1;Gregarinomorphea_X_GRE1_X;Gregarinomorphea_X_GRE1_XX;Gregarinomorphea_X_GRE1_XX_sp.;,69.0,Low confidence / possible divergent,663,0.42,87
Cluster_642,Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Sordariomycetes;Lanspora;Lanspora_coronata;,69.65,Low confidence / possible divergent,659,0.42,76
Cluster_846,Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa;Opalinata;Blastocystis-Group;Blastocystis;Blastocystis_sp.;,71.74,Low confidence / possible divergent,644,0.41,50
Cluster_155,Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Sordariomycetes;Liberomyces;Liberomyces_saliciphilus;,43.79,Candidate novel taxon,636,0.4,82
Cluster_904,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia_2;Sessilida;Sessilida_X;Sessilida_X_sp.;,75.39,Low confidence / possible divergent,628,0.4,51
Cluster_757,Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Apostomatia;Apostomatia_X;Apostomatia_XX;Apostomatia_XX_sp.;,76.08,Low confidence / possible divergent,626,0.4,66
